,Unnamed: 0,Unnamed: 0.1,description,subtasks,rebuilded
0,0,0,"<Architect> Facing north, build three stacks of two orange blocks, then destroy the bottom orange block on all three stacks","1, 5, 5, 4 && 1, 6, 5, 4 && 1, 7, 5, 4","[(1, 5, 5, 4), (1, 6, 5, 4), (1, 7, 5, 4)]"
1,1,1,<Architect> Make a row with 3 orange blocks next to each other,"0, 5, 5, 4 && 0, 6, 5, 4 && 0, 7, 5, 4","[(0, 5, 5, 4), (0, 6, 5, 4), (0, 7, 5, 4)]"
2,2,2,"<Architect> Make a row with 3 orange blocks next to each other
<Architect> Place another green block to the southeastern side of the eastern most block.","0, 5, 5, 4 && 0, 5, 6, 2 && 0, 6, 5, 4 && 0, 7, 5, 4","[(0, 5, 5, 4), (0, 5, 6, 2), (0, 6, 5, 4), (0, 7, 5, 4)]"
3,3,3,"<Architect> Make a row with 3 orange blocks next to each other
<Architect> Place another green block to the southeastern side of the eastern most block.
<Architect> Place a green block to the west of the green block that's already present. Then, destroy the green block that's there.","0, 5, 5, 2 && 0, 6, 4, 4 && 0, 7, 4, 4 && 0, 8, 4, 4","[(0, 5, 5, 2), (0, 6, 4, 4), (0, 7, 4, 4), (0, 8, 4, 4)]"
4,4,4,"<Architect> Make a row with 3 orange blocks next to each other
<Architect> Place another green block to the southeastern side of the eastern most block.
<Architect> Place a green block to the west of the green block that's already present. Then, destroy the green block that's there.
<Architect> Place another green block diagonally to the southwest of the existing green block.","0, 5, 5, 2 && 0, 6, 4, 4 && 0, 7, 4, 4 && 0, 8, 4, 4 && 0, 9, 5, 2","[(0, 5, 5, 2), (0, 6, 4, 4), (0, 7, 4, 4), (0, 8, 4, 4), (0, 9, 5, 2)]"
5,5,5,"<Architect> Make a row with 3 orange blocks next to each other
<Architect> Place another green block to the southeastern side of the eastern most block.
<Architect> Place a green block to the west of the green block that's already present. Then, destroy the green block that's there.
<Architect> Place another green block diagonally to the southwest of the existing green block.
<Architect> replace the yellow blocks with orange
<Builder> this is orange. it looks like yellow as builder
<Architect> Thank you","0, 5, 5, 2 && 0, 6, 4, 4 && 0, 7, 4, 4 && 0, 8, 4, 4 && 0, 9, 5, 2","[(0, 5, 5, 2), (0, 6, 4, 4), (0, 7, 4, 4), (0, 8, 4, 4), (0, 9, 5, 2)]"
6,6,6,<Architect> Place three orange blocks next to each other in the middle of the space.,"0, 5, 5, 4 && 0, 6, 5, 4 && 0, 7, 5, 4","[(0, 5, 5, 4), (0, 6, 5, 4), (0, 7, 5, 4)]"
7,7,7,"<Architect> Place three orange blocks next to each other in the middle of the space.
<Architect> Facing north, remove yellow block at the bottom.
<Builder> Which block should be removed? If facing north, there is no ""bottom"", as they're in a horizontal row.
<Architect> Build a row of three orange blocks on top of the existing row of yellow blocks, then remove all three of the yellow blocks at the bottom.","1, 5, 5, 4 && 1, 6, 5, 4 && 1, 7, 5, 4","[(1, 5, 5, 4), (1, 6, 5, 4), (1, 7, 5, 4)]"
8,8,8,"<Architect> Facing north, move near the edge of the game area and build a stack of 6 yellow blocks","0, 5, 5, 4 && 1, 5, 5, 4 && 2, 5, 5, 4 && 3, 5, 5, 4 && 4, 5, 5, 4 && 5, 5, 5, 4","[(0, 5, 5, 4), (1, 5, 5, 4), (2, 5, 5, 4), (3, 5, 5, 4), (4, 5, 5, 4), (5, 5, 5, 4)]"
9,9,9,"<Architect> Stack 6 yellow blocks in the middle of the grid, break the 3rd block from the bottom.","0, 5, 5, 6 && 1, 5, 5, 6 && 3, 5, 5, 6 && 4, 5, 5, 6 && 5, 5, 5, 6","[(0, 5, 5, 6), (1, 5, 5, 6), (3, 5, 5, 6), (4, 5, 5, 6), (5, 5, 5, 6)]"
