,description,subtasks
0,"<Architect> Facing north, build three stacks of two orange blocks, then destroy the bottom orange block on all three stacks","[1, 5, 5], [1, 1, 3], 'eastsky', 'orange'"
1,<Architect> Make a row with 3 orange blocks next to each other,"[0, 5, 5], [1, 1, 3], 'eastsky', 'orange'"
2,"<Architect> Make a row with 3 orange blocks next to each other
<Architect> Place another green block to the southeastern side of the eastern most block.","[0, 5, 5], [1, 1, 3], 'eastsky', 'orange' && [0, 4, 4], [1, 1, 1], 'skyeast', 'green'"
3,"<Architect> Make a row with 3 orange blocks next to each other
<Architect> Place another green block to the southeastern side of the eastern most block.
<Architect> Place a green block to the west of the green block that's already present. Then, destroy the green block that's there.","[0, 5, 5], [1, 1, 3], 'eastsky', 'orange' && [0, 4, 4], [1, 1, 1], 'skyeast', 'green' && [0, 3, 4], [1, 1, 1], 'skyeast', 'green'"
4,"<Architect> Make a row with 3 orange blocks next to each other
<Architect> Place another green block to the southeastern side of the eastern most block.
<Architect> Place a green block to the west of the green block that's already present. Then, destroy the green block that's there.
<Architect> Place another green block diagonally to the southwest of the existing green block.","[0, 5, 5], [1, 1, 3], 'eastsky', 'orange' && [0, 4, 4], [1, 1, 1], 'skyeast', 'green' && [0, 3, 4], [1, 1, 1], 'skyeast', 'green' && [0, 7, 4], [1, 1, 1], 'skyeast', 'green'"
5,"<Architect> Make a row with 3 orange blocks next to each other
<Architect> Place another green block to the southeastern side of the eastern most block.
<Architect> Place a green block to the west of the green block that's already present. Then, destroy the green block that's there.
<Architect> Place another green block diagonally to the southwest of the existing green block.
<Architect> replace the yellow blocks with orange
<Builder> this is orange. it looks like yellow as builder
<Architect> Thank you","[0, 5, 5], [1, 1, 3], 'eastsky', 'orange' && [0, 4, 4], [1, 1, 1], 'skyeast', 'green' && [0, 3, 4], [1, 1, 1], 'skyeast', 'green' && [0, 7, 4], [1, 1, 1], 'skyeast', 'green'"
6,<Architect> Place three orange blocks next to each other in the middle of the space.,"[0, 5, 5], [1, 1, 3], 'eastsky', 'orange'"
7,"<Architect> Place three orange blocks next to each other in the middle of the space.
<Architect> Facing north, remove yellow block at the bottom.
<Builder> Which block should be removed? If facing north, there is no ""bottom"", as they're in a horizontal row.
<Architect> Build a row of three orange blocks on top of the existing row of yellow blocks, then remove all three of the yellow blocks at the bottom.","[0, 5, 5], [1, 1, 3], 'eastsky', 'orange' && [1, 4, 5], [1, 1, 3], 'eastsky', 'orange'"
8,"<Architect> Facing north, move near the edge of the game area and build a stack of 6 yellow blocks","[0, 5, 5], [1, 1, 6], 'skyeast', 'orange'"
9,"<Architect> Stack 6 yellow blocks in the middle of the grid, break the 3rd block from the bottom.","[0, 5, 5], [1, 1, 2], 'skyeast', 'yellow' && [3, 5, 5], [1, 1, 3], 'skyeast', 'yellow'"
10,"<Architect> stack two yellow blocks, one atop the other
<Builder> In which direction should I be facing?
<Architect> Face south","[0, 5, 5], [1, 1, 2], 'skyeast', 'yellow'"
11,"<Architect> stack two yellow blocks, one atop the other
<Builder> In which direction should I be facing?
<Architect> Face south
<Architect> Stack a yellow block on another yellow block","[0, 5, 5], [1, 1, 2], 'skyeast', 'yellow' && [2, 5, 7], [1, 1, 1], 'skyeast', 'yellow'"
12,"<Architect> stack two yellow blocks, one atop the other
<Builder> In which direction should I be facing?
<Architect> Face south
<Architect> Stack a yellow block on another yellow block
<Architect> Stack a yellow block on a yellow block","[0, 5, 5], [1, 1, 2], 'skyeast', 'yellow' && [2, 5, 7], [1, 1, 1], 'skyeast', 'yellow' && [3, 5, 7], [1, 1, 1], 'skyeast', 'yellow'"
13,"<Architect> stack two yellow blocks, one atop the other
<Builder> In which direction should I be facing?
<Architect> Face south
<Architect> Stack a yellow block on another yellow block
<Architect> Stack a yellow block on a yellow block
<Architect> Remove 3 yellow blocks","[0, 5, 5], [1, 1, 2], 'skyeast', 'yellow' && [2, 5, 7], [1, 1, 1], 'skyeast', 'yellow' && [3, 5, 7], [1, 1, 1], 'skyeast', 'yellow'"
14,"<Architect> stack two yellow blocks, one atop the other
<Builder> In which direction should I be facing?
<Architect> Face south
<Architect> Stack a yellow block on another yellow block
<Architect> Stack a yellow block on a yellow block
<Architect> Remove 3 yellow blocks
<Architect> place a yellow block atop the yellow block","[0, 5, 5], [1, 1, 2], 'skyeast', 'yellow' && [2, 5, 7], [1, 1, 1], 'skyeast', 'yellow' && [3, 5, 7], [1, 1, 1], 'skyeast', 'yellow' && [1, 5, 7], [1, 1, 1], 'skyeast', 'yellow'"
15,"<Architect> stack two yellow blocks, one atop the other
<Builder> In which direction should I be facing?
<Architect> Face south
<Architect> Stack a yellow block on another yellow block
<Architect> Stack a yellow block on a yellow block
<Architect> Remove 3 yellow blocks
<Architect> place a yellow block atop the yellow block
<Architect> place three yellow blocks above the yellow blocks, skipping one space, leaving a blank in between","[0, 5, 5], [1, 1, 2], 'skyeast', 'yellow' && [2, 5, 7], [1, 1, 1], 'skyeast', 'yellow' && [3, 5, 7], [1, 1, 1], 'skyeast', 'yellow' && [1, 5, 7], [1, 1, 1], 'skyeast', 'yellow' && [2, 5, 7], [1, 1, 1], 'skyeast', 'yellow' && [4, 5, 7], [1, 1, 1], 'skyeast', 'yellow'"
